p_small value , Mean number of SCC, Mean average size of SCC, Mean of edges that connect SCC
0.0,100.0,1.0,0.0
0.005,99.73,1.0,49.345
0.01,96.25,1.0,93.495
0.015,68.04,1.085,98.995
0.02,38.675,2.285,74.6
0.025,21.575,4.645,51.275
0.03,12.99,8.58,35.5
0.035,7.56,15.82,22.85
0.04,5.16,25.015,16.195
0.045,3.215,40.63,10.025
0.05,2.155,58.365,5.68
0.055,1.705,72.415,3.87
0.06,1.465,80.47,2.675
0.065,1.195,90.745,1.16
0.07,1.165,91.915,1.23
0.075,1.1,95.165,0.765
0.08,1.04,98.0,0.28
0.085,1.03,98.5,0.215
0.09,1.015,99.25,0.145
0.095,1.005,99.75,0.035
