p value , Number Triangles, Number Triplets
0.0,0.0,0.0
0.005,0.0,0.075
0.01,0.005,0.345
0.015,0.005,0.9
0.02,0.01,1.345
0.025,0.0,1.955
0.03,0.035,2.75
0.035,0.09,3.85
0.04,0.065,5.465
0.045,0.13,6.71
0.05,0.13,8.605
0.055,0.215,9.87
0.06,0.24,11.025
0.065,0.345,14.295
0.07,0.445,15.895
0.075,0.485,17.64
0.08,0.695,20.69
0.085,0.81,24.485
0.09,0.815,26.58
0.095,0.94,28.74
0.1,1.07,30.445
0.15000000000000002,3.905,70.0
0.20000000000000004,8.67,114.84
0.25000000000000006,17.53,177.875
0.30000000000000004,30.855,248.02
0.3500000000000001,49.17,320.72
0.40000000000000013,72.85,401.395
0.45000000000000007,104.96,486.215
0.5000000000000001,141.7,563.63
0.5500000000000002,190.92,656.99
0.6000000000000002,245.605,736.57
0.6500000000000001,313.015,816.625
0.7000000000000002,393.03,897.24
0.7500000000000002,481.73,962.275
0.8000000000000002,576.255,1017.72
0.8500000000000002,699.865,1070.08
0.9000000000000002,832.335,1108.58
0.9500000000000003,978.9,1132.055
1.0000000000000004,1140.0,1140.0
